Domain,Topic,State,Note
1-800-vermont.com,travel tourism,,Travel and Tourism Site for Vermont -- Note added 6/6/13 19:19
1800arkansas.com,,arkansas,See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/  -- Note added 1/24/14 14:38
211.getcare.com,,virginia,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 5/27/14 14:14"
211virginia.org,,virginia,"2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services, the Family Resource and Referral Center, The Planning Council, the United Way of Central Virginia, and the United Way of Greater Richmond and Petersburg. -- Note added 1/10/14 19:17"
4thjudicialda.com,,,4th Judicial District Attorney -- Note added 1/10/14 19:17
511ny.org,department transportation,new york,"511 NY (New York State Department of Transportation), the free, official one-stop, all-encompassing telephone and Web service offering  information on transportation services and conditions throughout New York State.  -- Note added 1/24/14 14:34"
accessidaho.org,,idaho,State of Idaho (mirror website of www.idaho.gov) -- Note added 7/17/14 14:28
aces.edu,cooperative extension,alabama,Alabama Cooperative Extension System -- Note added 6/12/13 16:37
aces.nmsu.edu/pubs,cooperative extension,new mexico,New Mexico Cooperative Extension Publications -- Note added 7/25/13 17:38
adoptpakids.org,,pennsylvania,Pennsylvania Adoption Exchange -- Note added 6/30/14 15:39
adph.org,department public,alabama,Alabama Department of Public Health -- Note added 6/12/13 16:40
ag.umass.edu,,massachusetts,University of Massachusetts Center for Agriculture Research and Extension -- Note added 11/20/13 15:32
agrilifeextension.tamu.edu,,texas,Texas A&M AgriLife Extension -- Note added 3/3/15 6:32
ahfa.com,,alabama,Alabama Housing Finance Authority -- Note added 6/12/13 16:40
ahfc.us,,alaska,Alaska Housing Finance Corporation -- Note added 6/6/13 18:08
aidea.org,,alaska,Alaska Industrial Development and Export Authority -- Note added 6/6/13 18:08
ak-prepared.com,,alaska,Alaska's Department of Military and Veterans Affairs Division of Homeland Security and Emergency Management -- Note added 6/27/14 6:01
